ds,yhat,yhat_lower,yhat_upper
2010-11-29,154069.38258376776,121155.50017754143,190178.31694508088
2010-12-06,185527.0677060735,149450.26513356552,219448.4128769637
2010-12-13,155360.3869141744,119735.04601636057,187457.72135959595
2010-12-20,92411.52351944493,59353.49664546801,125812.01555026797
2011-01-03,93066.98697215419,59987.19302290975,124179.6574411222
2011-01-10,149868.15309249528,117364.48540321196,187751.076021326
2011-01-17,170449.85145144165,135889.07351033887,205679.44202270173
2011-01-24,137180.06777358483,105066.3463802796,171375.85324738701
2011-01-31,91688.19261856722,56723.74613784101,124855.91950521276
2011-02-07,83044.09369038753,48879.958537333136,116457.70944498913
2011-02-14,112716.95276734588,78617.2313920246,147374.06197757705
2011-02-21,139731.72488803364,104181.52777391652,174398.50171586918
2011-02-28,134349.8125819398,99802.53150320463,168929.84025838014
2011-03-07,112191.67886190407,76526.98642886398,144288.78822740624
2011-03-14,109433.57987550668,75655.77419721747,143222.43504762196
2011-03-21,134066.17116590525,97972.92867010419,166484.32059375482
2011-03-28,155433.30462891245,121493.75557161,190604.15139718092
2011-04-04,143696.76849720455,110256.82714259376,176930.46307683722
2011-04-11,108432.518688623,72144.40068201328,143913.97712057098
2011-04-18,88482.41697050165,54061.929577388844,121780.04992326276
2011-04-25,106722.53759916197,73969.83933079755,141120.0435873503
2011-05-02,145284.15686191863,111241.33907693047,177643.13403184383
2011-05-09,168965.26804231983,136910.54747906982,203579.71812869073
2011-05-16,165214.66418982175,128384.1184038077,198498.62616897022
2011-05-23,152423.6908284777,118321.82926759122,186274.2598425182
2011-05-30,151194.58993866615,118573.87090847296,181955.11591060582
2011-06-06,158364.94734300044,124651.3680156834,191317.68220647826
2011-06-13,155388.59008972865,124061.26993298401,189038.70472114717
2011-06-20,136305.930428523,102522.51570071901,171562.13077172395
2011-06-27,117345.7348501539,82767.06266009108,150128.91922112153
2011-07-04,117159.57966537938,84247.61523975019,154782.54489666346
2011-07-11,135021.59100729303,100588.09727510982,166259.7852683794
2011-07-18,154107.68216386682,122569.02548392916,191511.87462300752
2011-07-25,162185.90217338933,126664.65735090185,196298.97245790728
2011-08-01,161306.70174179605,125853.63586448075,196777.3831448002
2011-08-08,157369.54931529687,123576.19408783186,193241.55529973103
2011-08-15,149773.98121122553,115692.55493626317,184623.07723743067
2011-08-22,138569.24585479437,102944.90954161577,170522.53690931335
2011-08-29,136566.87196609366,102304.74946666353,170766.30956180184
2011-09-05,161864.25056640917,127522.3198708567,194575.26023872575
2011-09-12,213174.13790974024,177765.89068906053,248223.30644283764
2011-09-19,260505.64897123328,226957.0597393822,297309.48213286616
2011-09-26,271263.2808622752,239379.57502730784,305337.3567253838
2011-10-03,246437.41073625762,212886.3811754577,280022.2201185531
2011-10-10,222071.37901487702,187395.03558259073,257897.33797199474
2011-10-17,229220.37689933128,195813.17366341932,264124.4654800641
2011-10-24,258239.18977519928,222399.71663984386,291364.22983767255
2011-10-31,272340.722810103,237833.2179134527,308805.3175070911
2011-11-07,256194.35052985977,222896.03997441626,289490.76443472685
2011-11-14,239190.89226128298,205661.17569851785,274243.0686764017
2011-11-21,260771.32532501503,229390.12630848945,293062.67622419953
2011-11-28,317308.9405891536,283082.60455513775,349302.80493029236
2011-12-05,357564.3018786964,319011.32160716027,392657.428123721
2011-12-06,278316.6998181249,244339.63218591874,309383.7569659092
2011-12-07,278191.8482576654,242928.8406719203,313765.64360984974
2011-12-08,276679.2222444257,241181.1360493908,311645.7989749885
2011-12-09,273802.2825840423,238041.90785805657,308811.6898104761
2011-12-10,269617.3408102413,237803.09050837948,303058.54073429835
2011-12-11,264212.68281704874,228385.70938863084,297724.0366098124
2011-12-12,338207.3395307134,300928.5187377638,372692.53618363076
2011-12-13,250244.44603034793,212902.76062616208,282725.6273185472
2011-12-14,241995.8280057086,207493.57093454074,274292.6756172806
2011-12-15,233149.92323125055,199598.7998441482,265499.3111387569
2011-12-16,223911.24259847833,189160.46317000233,258310.54899514405
2011-12-17,214494.4101594865,182746.989604438,247321.96592113373
2011-12-18,205119.03136285057,172216.51448937453,238609.40927462705
2011-12-19,276504.89511622116,242358.1310640173,313944.0594642526
2011-12-20,187362.5501885799,154260.27934473872,219350.7388941675
2011-12-21,179395.97301723613,145923.9439448448,214952.23897727832
2011-12-22,172289.48961399597,137898.68298970594,207915.01954510508
2011-12-23,166207.18639589165,128979.81930602694,198200.3684050769
2011-12-24,161287.85403144173,126232.61210006439,196294.893526345
2011-12-25,157641.69229094818,121830.63740250822,190883.28114464952
2011-12-26,235848.23501224714,201141.9692585905,269714.2048678251
2011-12-27,154450.4650732137,117760.94322868904,189068.77441367862
2011-12-28,154961.74359734167,118477.5986936294,188470.37954798993
2011-12-29,156857.60352079308,119802.78943214653,192232.4059768967
2011-12-30,160080.51312070998,127001.82943846767,194412.36259022928
2011-12-31,164540.5112203437,130744.84264486606,199911.4247431939
2012-01-01,170117.7903972148,136955.6778367282,201958.2090018569
2012-01-02,257166.53053168612,222808.15733326165,291058.2162746929
2012-01-03,184014.79495305358,148857.37122142516,218114.13047816
2012-01-04,191976.95924288116,156728.0591293599,229268.4414111695
2012-01-05,200350.57633952156,167603.59936049845,235865.62294122376
2012-01-06,208925.648745465,174465.93300413358,242494.6875287403
2012-01-07,217489.0901095101,182961.4376819562,253709.76161560314
2012-01-08,225830.35170349886,190938.41751184888,257708.91725647962
2012-01-09,314247.4366684243,281420.22404575883,349446.9364689975
2012-01-10,241048.0583462643,206910.96127080778,274382.00273904356
2012-01-11,247562.38181244556,212881.67526704873,282447.5111627458
2012-01-12,253139.2471234266,218953.01585255022,289055.84328566625
2012-01-13,257653.86584304372,224862.66347524564,290685.84415282693
2012-01-14,261009.81916503777,226717.9581901306,295653.3124716952
2012-01-15,263141.4031376962,229492.3525471781,297843.90142486786
2012-01-16,344515.6358213311,310563.8358052971,379791.645825612
2012-01-17,263628.79403704416,228410.25593807775,297327.65757321013
2012-01-18,262014.04641634246,229347.2752444152,298819.0502624888
2012-01-19,259232.22157789412,227596.7179864387,292989.6300546705
2012-01-20,255373.85210393486,220937.78086868068,291184.4070328997
2012-01-21,250555.47641428508,216779.5371477107,286761.0570474675
